"","status.of.existing.checking.account","duration.in.month","credit.history","purpose","credit.amount","savings.account.and.bonds","present.employment.since","installment.rate.in.percentage.of.disposable.income","personal.status.and.sex","other.debtors.or.guarantors","present.residence.since","property","age.in.years","other.installment.plans","housing","number.of.existing.credits.at.this.bank","job","number.of.people.being.liable.to.provide.maintenance.for","telephone","foreign.worker","creditability"
"581","0 <= ... < 200 DM",18,"critical account/ other credits existing (not at this bank)","car (new)",1056,"... < 100 DM","... >= 7 years",3,"male : single","guarantor",3,"real estate",30,"bank","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"582","0 <= ... < 200 DM",12,"critical account/ other credits existing (not at this bank)","car (new)",3124,"... < 100 DM","... < 1 year",1,"male : single","none",3,"real estate",49,"bank","own",2,"unskilled - resident","2","none","yes","good"
"583","no checking account",9,"existing credits paid back duly till now","furniture/equipment",1388,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",26,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"584","0 <= ... < 200 DM",36,"existing credits paid back duly till now","OTHER",2384,"... < 100 DM","... < 1 year",4,"male : single","none",1,"unknown / no property",33,"none","rent",1,"unskilled - resident","1","none","yes","bad"
"585","no checking account",12,"existing credits paid back duly till now","car (new)",2133,"unknown/ no savings account","... >= 7 years",4,"female : divorced/separated/married","none",4,"unknown / no property",52,"none","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"586","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2039,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"real estate",20,"bank","rent",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"587","... < 0 DM",9,"critical account/ other credits existing (not at this bank)","car (new)",2799,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",36,"none","rent",2,"unskilled - residentskilled employee / official","2","none","yes","good"
"588","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1289,"... < 100 DM","1 <= ... < 4 years",4,"male : single","guarantor",1,"building society savings agreement/ life insurance",21,"none","own",1,"unskilled - resident","1","none","yes","good"
"589","... < 0 DM",18,"existing credits paid back duly till now","OTHER",1217,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",3,"real estate",47,"none","own",1,"unskilled - resident","1","yes, registered under the customers name","yes","bad"
"590","... < 0 DM",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",2246,"... < 100 DM","... >= 7 years",3,"male : single","none",3,"building society savings agreement/ life insurance",60,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"591","... < 0 DM",12,"critical account/ other credits existing (not at this bank)","radio/television",385,"... < 100 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"real estate",58,"none","own",4,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"592","0 <= ... < 200 DM",24,"delay in paying off in the past","car (new)",1965,"unknown/ no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",42,"none","rent",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"593","no checking account",21,"existing credits paid back duly till now","business",1572,"... >= 1000 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"real estate",36,"bank","own",1,"unskilled - resident","1","none","yes","good"
"594","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",2718,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",20,"none","rent",1,"unskilled - resident","1","yes, registered under the customers name","yes","bad"
"595","... < 0 DM",24,"all credits at this bank paid back duly","OTHER",1358,"unknown/ no savings account","... >= 7 years",4,"male : single","none",3,"car or other, not in attribute Savings account/bonds",40,"stores","own",1,"OTHER","1","yes, registered under the customers name","yes","bad"
"596","0 <= ... < 200 DM",6,"all credits at this bank paid back duly","car (new)",931,"100 <= ... < 500 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"building society savings agreement/ life insurance",32,"stores","own",1,"unskilled - resident","1","none","yes","bad"
"597","... < 0 DM",24,"existing credits paid back duly till now","car (new)",1442,"... < 100 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",23,"none","rent",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"598","0 <= ... < 200 DM",24,"no credits taken/ all credits paid back duly","business",4241,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",4,"real estate",36,"none","own",3,"unskilled - resident","1","yes, registered under the customers name","yes","bad"
"599","no checking account",18,"critical account/ other credits existing (not at this bank)","car (new)",2775,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",2,"building society savings agreement/ life insurance",31,"bank","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"600","no checking account",24,"delay in paying off in the past","business",3863,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",2,"unknown / no property",32,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"601","0 <= ... < 200 DM",7,"existing credits paid back duly till now","radio/television",2329,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","guarantor",1,"real estate",45,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"602","0 <= ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",918,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"building society savings agreement/ life insurance",30,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"603","0 <= ... < 200 DM",24,"all credits at this bank paid back duly","education",1837,"... < 100 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",4,"unknown / no property",34,"bank","for free",1,"unskilled - resident","1","none","yes","bad"
"604","no checking account",36,"existing credits paid back duly till now","furniture/equipment",3349,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",28,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","bad"
"605","... >= 200 DM / salary assignments for at least 1 year",10,"existing credits paid back duly till now","furniture/equipment",1275,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"building society savings agreement/ life insurance",23,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"606","... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",2828,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"male : single","none",4,"real estate",22,"stores","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"607","no checking account",24,"critical account/ other credits existing (not at this bank)","business",4526,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",74,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","good"
"608","0 <= ... < 200 DM",36,"existing credits paid back duly till now","radio/television",2671,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","co-applicant",4,"unknown / no property",50,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"609","no checking account",18,"existing credits paid back duly till now","radio/television",2051,"... < 100 DM","... < 1 year",4,"male : single","none",1,"real estate",33,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"610","no checking account",15,"existing credits paid back duly till now","car (used)",1300,"unknown/ no savings account","... >= 7 years",4,"male : single","none",4,"unknown / no property",45,"bank","for free",1,"unskilled - residentskilled employee / official","2","none","yes","good"
"611","... < 0 DM",12,"existing credits paid back duly till now","OTHER",741,"100 <= ... < 500 DM","unemployed",4,"female : divorced/separated/married","none",3,"building society savings agreement/ life insurance",22,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"612","... >= 200 DM / salary assignments for at least 1 year",10,"existing credits paid back duly till now","car (new)",1240,"100 <= ... < 500 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"unknown / no property",48,"none","for free",1,"unskilled - resident","2","none","yes","bad"
"613","... < 0 DM",21,"existing credits paid back duly till now","radio/television",3357,"... >= 1000 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",29,"bank","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"614","... < 0 DM",24,"all credits at this bank paid back duly","car (used)",3632,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","guarantor",4,"car or other, not in attribute Savings account/bonds",22,"bank","rent",1,"unskilled - residentskilled employee / official","1","none","no","good"
