,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
630,no checking account,NA,existing credits paid back duly till now,education,3832,unknown/ no savings account,... >= 7 years,1,male : single,none,4,real estate,NA,none,own,1,unskilled - resident,1,NA,NA,good
631,... < 0 DM,24,existing credits paid back duly till now,radio/television,3660,... < 100 DM,NA,2,female : divorced/separated/married,none,4,NA,28,none,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
632,... < 0 DM,18,NA,furniture/equipment,1553,... < 100 DM,1 <= ... < 4 years,4,male : single,none,NA,"car or other, not in attribute Savings account/bonds",NA,NA,own,1,unskilled - residentskilled employee / official,1,NA,yes,bad
633,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,NA,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
634,no checking account,9,NA,furniture/equipment,1980,... < 100 DM,... < 1 year,2,NA,co-applicant,2,"car or other, not in attribute Savings account/bonds",NA,none,NA,2,unskilled - residentskilled employee / official,NA,none,yes,bad
635,NA,24,existing credits paid back duly till now,car (new),1355,NA,... < 1 year,3,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",25,none,NA,NA,unskilled - resident,NA,"yes, registered under the customers name",NA,bad
636,no checking account,12,existing credits paid back duly till now,education,1393,NA,... >= 7 years,NA,male : single,none,4,building society savings agreement/ life insurance,47,bank,own,3,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
637,no checking account,24,NA,radio/television,1376,500 <= ... < 1000 DM,NA,NA,NA,none,1,"car or other, not in attribute Savings account/bonds",28,none,own,1,NA,1,none,yes,good
638,no checking account,60,delay in paying off in the past,radio/television,15653,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,NA,21,none,own,2,NA,1,"yes, registered under the customers name",yes,good
639,no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,NA,NA,none,3,"car or other, not in attribute Savings account/bonds",34,none,own,1,unskilled - residentskilled employee / official,2,none,yes,good
640,... < 0 DM,42,delay in paying off in the past,radio/television,4370,NA,4 <= ... < 7 years,3,NA,none,NA,building society savings agreement/ life insurance,26,bank,own,2,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,bad
641,NA,18,existing credits paid back duly till now,education,750,... < 100 DM,unemployed,4,female : divorced/separated/married,none,NA,real estate,27,none,own,1,OTHER,1,none,yes,bad
642,0 <= ... < 200 DM,15,NA,OTHER,1308,NA,... >= 7 years,NA,male : single,none,4,"car or other, not in attribute Savings account/bonds",38,NA,NA,2,NA,1,none,yes,good
643,no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,NA,NA,male : single,none,2,building society savings agreement/ life insurance,NA,none,own,1,OTHER,1,"yes, registered under the customers name",yes,bad
644,no checking account,NA,critical account/ other credits existing (not at this bank),NA,1851,NA,4 <= ... < 7 years,4,NA,guarantor,2,"car or other, not in attribute Savings account/bonds",33,none,NA,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
645,NA,18,critical account/ other credits existing (not at this bank),radio/television,1880,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/ life insurance,32,NA,own,2,NA,1,"yes, registered under the customers name",NA,good
646,NA,NA,delay in paying off in the past,business,7980,NA,... < 1 year,4,NA,none,NA,"car or other, not in attribute Savings account/bonds",27,none,rent,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
647,... < 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,... < 100 DM,1 <= ... < 4 years,2,NA,guarantor,NA,real estate,32,none,NA,2,unskilled - residentskilled employee / official,1,none,yes,good
648,NA,12,existing credits paid back duly till now,NA,1386,500 <= ... < 1000 DM,NA,2,NA,none,2,NA,NA,NA,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
649,... >= 200 DM / salary assignments for at least 1 year,24,NA,car (new),947,... < 100 DM,NA,4,male : single,none,NA,unknown / no property,38,bank,for free,1,unskilled - residentskilled employee / official,2,none,yes,bad
650,... < 0 DM,NA,existing credits paid back duly till now,education,684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,NA,40,none,rent,1,unskilled - resident,2,none,yes,bad
651,NA,NA,NA,education,7476,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,unknown / no property,NA,none,for free,1,OTHER,1,"yes, registered under the customers name",yes,good
652,NA,12,existing credits paid back duly till now,furniture/equipment,1922,NA,1 <= ... < 4 years,4,male : single,none,2,NA,37,NA,own,NA,unskilled - resident,1,none,yes,bad
653,... < 0 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,... >= 7 years,4,NA,NA,1,real estate,45,none,NA,1,NA,1,none,yes,bad
654,NA,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,NA,NA,male : single,NA,4,"car or other, not in attribute Savings account/bonds",42,none,own,4,OTHER,1,"yes, registered under the customers name",yes,bad
655,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2346,... < 100 DM,4 <= ... < 7 years,NA,male : single,none,3,NA,35,NA,own,NA,unskilled - residentskilled employee / official,1,NA,yes,good
656,... < 0 DM,14,existing credits paid back duly till now,car (new),3973,NA,unemployed,NA,NA,none,4,unknown / no property,22,none,for free,1,unskilled - residentskilled employee / official,1,NA,NA,good
657,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",41,bank,own,NA,NA,2,NA,yes,bad
658,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,NA,4,NA,none,3,"car or other, not in attribute Savings account/bonds",NA,stores,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
659,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",NA,none,own,2,NA,1,none,yes,good
660,0 <= ... < 200 DM,NA,critical account/ other credits existing (not at this bank),furniture/equipment,6361,... < 100 DM,... >= 7 years,2,male : single,none,1,unknown / no property,41,none,own,1,NA,1,"yes, registered under the customers name",NA,good
661,... >= 200 DM / salary assignments for at least 1 year,NA,existing credits paid back duly till now,NA,NA,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,NA,4,real estate,23,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
662,... < 0 DM,NA,existing credits paid back duly till now,car (new),NA,unknown/ no savings account,NA,4,male : married/widowed,none,NA,NA,NA,none,own,1,NA,1,NA,yes,bad
663,no checking account,21,existing credits paid back duly till now,NA,2241,... < 100 DM,... >= 7 years,NA,male : single,none,NA,real estate,NA,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
664,0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,1050,NA,unemployed,4,male : single,none,NA,building society savings agreement/ life insurance,35,stores,own,2,OTHER,1,"yes, registered under the customers name",yes,good
665,... >= 200 DM / salary assignments for at least 1 year,6,NA,NA,1047,NA,NA,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,50,none,own,1,unskilled - resident,NA,NA,yes,good
666,no checking account,24,critical account/ other credits existing (not at this bank),OTHER,6314,... < 100 DM,unemployed,NA,male : single,co-applicant,2,unknown / no property,NA,bank,own,2,OTHER,1,"yes, registered under the customers name",yes,good
667,0 <= ... < 200 DM,NA,all credits at this bank paid back duly,furniture/equipment,NA,... >= 1000 DM,1 <= ... < 4 years,NA,male : single,none,NA,"car or other, not in attribute Savings account/bonds",NA,stores,NA,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
668,no checking account,48,all credits at this bank paid back duly,business,3609,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,NA,NA,NA,27,stores,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
669,NA,12,NA,car (new),NA,... < 100 DM,... >= 7 years,NA,male : single,co-applicant,NA,building society savings agreement/ life insurance,43,none,rent,2,unskilled - residentskilled employee / official,1,NA,NA,bad
670,NA,30,critical account/ other credits existing (not at this bank),radio/television,3017,... < 100 DM,... >= 7 years,NA,NA,none,4,building society savings agreement/ life insurance,NA,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
671,no checking account,24,critical account/ other credits existing (not at this bank),NA,4139,100 <= ... < 500 DM,1 <= ... < 4 years,NA,male : single,NA,NA,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,NA,"yes, registered under the customers name",yes,good
672,NA,NA,NA,business,5742,NA,NA,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,NA,own,2,unskilled - residentskilled employee / official,NA,NA,yes,good
673,no checking account,60,existing credits paid back duly till now,car (new),NA,... < 100 DM,NA,2,male : single,none,4,building society savings agreement/ life insurance,42,none,own,1,OTHER,1,NA,yes,good
674,NA,6,NA,car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",24,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
675,no checking account,NA,delay in paying off in the past,business,2580,500 <= ... < 1000 DM,... < 1 year,4,NA,none,NA,real estate,41,bank,own,1,unskilled - resident,NA,none,yes,bad
676,no checking account,30,NA,NA,4530,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",26,none,rent,1,OTHER,1,"yes, registered under the customers name",yes,good
677,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,5150,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",33,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
678,0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : married/widowed,NA,2,NA,NA,NA,NA,1,unskilled - residentskilled employee / official,1,none,yes,bad
679,... < 0 DM,NA,existing credits paid back duly till now,radio/television,2384,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,64,bank,NA,NA,NA,1,none,NA,good
680,no checking account,18,existing credits paid back duly till now,radio/television,1453,NA,... < 1 year,3,female : divorced/separated/married,none,1,real estate,26,none,own,1,NA,NA,none,yes,good
681,no checking account,6,existing credits paid back duly till now,education,1538,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,NA,NA,none,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
682,no checking account,12,existing credits paid back duly till now,radio/television,NA,unknown/ no savings account,1 <= ... < 4 years,4,male : single,NA,4,unknown / no property,37,none,for free,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
683,no checking account,NA,delay in paying off in the past,NA,1478,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,33,bank,own,2,unskilled - residentskilled employee / official,1,NA,NA,good
684,no checking account,24,NA,radio/television,5103,... < 100 DM,... < 1 year,3,male : married/widowed,none,3,unknown / no property,47,NA,for free,3,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
685,0 <= ... < 200 DM,36,delay in paying off in the past,business,9857,NA,4 <= ... < 7 years,1,NA,none,3,building society savings agreement/ life insurance,31,none,NA,2,unskilled - resident,2,"yes, registered under the customers name",yes,good
686,no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,NA,none,for free,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
687,... >= 200 DM / salary assignments for at least 1 year,10,NA,NA,NA,NA,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,27,NA,NA,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
688,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2862,100 <= ... < 500 DM,... >= 7 years,NA,male : single,none,NA,NA,30,NA,for free,NA,unskilled - residentskilled employee / official,NA,NA,yes,good
689,no checking account,9,existing credits paid back duly till now,radio/television,NA,100 <= ... < 500 DM,... >= 7 years,3,male : single,NA,4,"car or other, not in attribute Savings account/bonds",35,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
